School,District,Division1,Pupils,
Sakusaku Primary School,Bududa,1,26,
Lubiri Primary School,Bududa,1,24,
Bunandutu V,Bududa,2,47,
Bumwelye Primary School,Bududa,3,64,
Footo Primary School,Bududa,6,44,
Bulobi Primary School,Bududa,3,48,
Bunakhayenze Primary School,Bududa,4,74,
Bukhatelema Primary School,Bududa,6,87,
Bumukonya Primary School,Bududa,2,27,
Bunambumali Primary School,Bududa,1,54,
Bubungi Primary School,Bududa,1,52,
Bukiga Primary School,Bududa,15,45,
Rubaga Parents Primary School,Bududa,1,48,
Buwali Primary School,Bududa,8,42,
Arlington Junior School,Bududa,21,46,
Busamaali P/S,Bududa,1,73,
Busamaali Primary School,Bududa,1,73,
Buwakiyu Primary School,Bududa,1,40,
Bukalasi Primary School,Bududa,1,70,
Bubiita Primary School,Bududa,1,61,
Bukakaire Baptist Pri.School,Bugire,1,29,
Kavule Primary School,Bugiri,2,72,
Nongo Ps,Bugiri,1,33,
Sironyo P/S,Bugiri,1,25,
Bugunga PS,Bugiri,3,80,
Bugiri Primary School,Bugiri,3,75,
Bugiri Primary School,Bugiri,3,75,
Sironyo Primary School,Bugiri,1,25,
Nankoma Primary School,Bugiri,9,237,
Nankoma Primary School,Bugiri,9,237,
St Francis,Bugiri,1,26,
Buwunga Primary School,Bugiri,1,181,
Kirogero Ps,Bugiri,1,138,
Nangalama Primary School,Bugiri,1,98,
Butema Baptist Primary School,Bugiri,1,88,
Wakawaka Primary School,Bugiri,1,88,
Bugubo Primary School,Bugiri,1,83,
Bugobo Butamula Primary School,Bugiri,6,127,
Bululu Ps,Bugiri,4,84,
Namagonjo Primary School,Bugiri,5,38,
Hindocha Primary School,Bugiri,5,78,
Kibimba Primary School,Bugiri,2,31,
Batumbapri Sch,Bugiri,2,30,
Butumba Primary School,Bugiri,2,30,
Nsono Primary School,Bugiri,1,15,
Al-Jama Muslim Ps,Bugiri,3,44,
Nakavule Ps,Bugiri,9,125,
Kiwandagabo Ps,Bugiri,5,66,
Bumwangu Ps,Bugiri,6,56,
Buwunga Pri Sch,Bugiri,1,48,
Nabyunyu Primary School,Bugiri,1,46,
York Primary School,Bugiri,36,73,
Isagaza C/U P S,Bugiri,2,86,
Bugiri Modern Primary School,Bugiri,2,85,
Bugiri Modern Primary School,Bugiri,2,85,
Nabukalu Primary School,Bugiri,1,42,
Isagaza R/C PS,Bugiri,1,75,
Busanzi Primary School,Bugiri,1,75,
Magoola Primary School,Bugiri,1,40,
Nakigungu Primary School,Bugiri,2,125,
Nyunga Primary School,Bugiri,1,60,
Natenga Primary School,Bugiri,1,59,
Butare Central School,Buhweju,1,36,
Butuuro Primary School,Buhweju,1,25,
Mabanda C/U Primary School,Buhweju,2,50,
Kyankanda Primary School,Buhweju,1,31,
Koburimbi Primary School,Buhweju,1,21,
Karambi Primary School,Buhweju,2,42,
Rukiri Primary School,Buhweju,3,19,
Karungu Boys' Primary School,Buhweju,2,23,
Kayanja Primary School,Buhweju,6,36,
Nsiika Mixed School,Buhweju,1,55,
Tumusiime Parents School,Buhweju,14,46,
Bihanga Central Primary School,Buhweju,25,57,
Kankara Primary School,Buhweju,7,33,
Nyakazaiba Primary School,Buhweju,18,69,
Kikube C/U Primary School,Buikwe,2,57,
Nakatyaba R/C Primary School,Buikwe,1,33,
Nyenga Boys Primary School,Buikwe,2,65,
St.Peter's Primary school,Buikwe,2,65,
Buikwe C/U Primary School,Buikwe,2,54,
Kiyagi Parents Primary School,Buikwe,2,63,
Masaaba R/C Primary School,Buikwe,1,31,
Ssi Primary School,Buikwe,1,31,
Bugungu Primary School,Buikwe,5,151,
Ngogwe Baskerville P/S,Buikwe,1,109,
St.Jude Ssunga Primary School,Buikwe,1,23,
Sagazi Primary School,Buikwe,1,23,
Buwogole C/U Primary School,Buikwe,1,23,
Lugazi Model Primary School,Buikwe,1,101,
Kammenga Primary School,Buikwe,1,101,
Makonge Mixed Primary School,Buikwe,12,100,
Kikakanya Primary School,Buikwe,1,91,
St.Paul Lubanyi Pri.School,Buikwe,2,45,
Wakisi Baptist Primary School,Buikwe,1,91,
Kasonga Primary School,Buikwe,13,106,
Faithful Servants P/S,Buikwe,3,24,
Lugazi Umea Primary School,Buikwe,2,43,
Nkoba Mixed  Primary School,Buikwe,1,21,
Peter's Primary School,Buikwe,1,21,
Naminya C/U Primary School,Buikwe,3,51,
Little Angels Primary School,Buikwe,6,45,
Makonge Day And boarding P/S,Buikwe,14,104,
Lugazi East Primary School,Buikwe,12,89,
Okasha Islamic Primary School,Buikwe,4,64,
Kawolo C/U Primary School,Buikwe,18,131,
Njeru Primary School,Buikwe,4,29,
Najja R/C Primary School,Buikwe,6,94,
Bulongwe Primary School,Buikwe,3,60,
Malongwe Primary School,Buikwe,3,60,
Lubumba Primary School,Buikwe,3,59,
St.Patrick Primary School,Buikwe,2,39,
Nile View Primary School,Buikwe,2,39,
Muteesa I Memorial School,Buikwe,6,65,
Wabusanke R/U Primary School,Buikwe,1,18,
Bukaya Primary School,Buikwe,8,84,
St Peters Matale Primary School,Buikwe,5,52,
Kinoga Primary School,Buikwe,2,35,
Al-Hijira P/S,Butema-Njeru,Buikwe,2,33.0765
Lugazi West Primary School,Buikwe,5,70,
Kasubi C/U Primary School,Buikwe,11,78,
St.Stephen Njeru Pri.School,Buikwe,11,77,
Matale Nkoyoyo Boarding P/S,Buikwe,6,42,
Buikwe Self-Help Pri.School,Buikwe,5,60,
Rwamurunga Primary School,Buikwe,5,60,
St.Jude Zzinga Primary School,Buikwe,5,24,
Kituutu Orphanage P/S,Buikwe,2,18,
Good Shepherd Primary School,Buikwe,8,49,
Good Shepherd's Fold Xtia P/S,Buikwe,9,54,
Nakalanga Umea Primary School,Buikwe,6,68,
Nkokonjeru Demonstration Primary School,Buikwe,1,55,
St.Peter C/U Lugazi Primary School,Buikwe,17,62,
Station Camp Primary School,Buikwe,1,53,
Nyenga Girls Primary School,Buikwe,1,51,
Lugasa Parents Primary School,Buikwe,21,69,
Troas Primary School,Buikwe,9,28,
Nakibizzi C/U Primary School,Buikwe,18,56,
Ntenga Primary School,Buikwe,2,97,
Highway Primary School,Buikwe,15,43,
Fellowship Primary School,Buikwe,24,68,
Kikusa Primary School,Buikwe,1,48,
Hope Land Junior School,Buikwe,8,42,
St.Balikuddembe Buikwe P/S,Buikwe,1,47,
Lugazi Comity Pri.School,Buikwe,35,91,
Mulajje Primary School,Buikwe,42,97,
Joy Centre For Education,Buikwe,7,16,
Najjeme Primary School,Buikwe,14,67,
St.Kizito Lugazi Pri.School,Buikwe,7,33,
Sonlight Learning Centre,Buikwe,14,30,
Kinabi Umea Primary School,Buikwe,21,92,
St.Moses Primary School,Buikwe,35,68,
Njeru Parents Primary School,Buikwe,7,30,
Green Valley Primary School,Buikwe,20,77,
Kyanja Public Primary School,Buikwe,1,41,
Namwezi Umea Primary School,Buikwe,4,162,
Stella Maris Primary School,Buikwe,45,70,
St.Abel Primary School,Buikwe,62,90,
Jack Standard Primary School,Buikwe,1,39,
Shilo Nile Star Primary School,Buikwe,36,50,
Little Angles P/S,Nakazadde,Buikwe,28,33.0765
Nyenga C/Primary School,Buikwe,2,116,
St.Bernadette Nakibizzi P/S,Buikwe,59,64,
Lugazi Mixed Primary School,Buikwe,14,15,
Kotoluk Primary School,Bukedea,4,143,
Kachumbala Primary School,Bukedea,3,107,
Suula Primary School,Bukedea,2,69,
Alero Primary School,Bukedea,1,33,
Aputiput,Bukedea,1,33,
Kolir Primary School,Bukedea,1,25,
Okum Okemole  Primary School,Bukedea,1,25,
Kachonga Primary School,Bukedea,1,25,
Kachede Primary School,Bukedea,3,79,
Kakere Primary school,Bukedea,1,30,
Kachuru,Bukedea,4,94,
Tamula muslim,Bukedea,5,43,
Kyaziiza,Bukedea,3,69,
Akwarikwar Primary School,Bukedea,7,59,
Kanyamutamu New Primary School,Bukedea,2,45,
Shanzou Primary School,Bukedea,4,68,
Kongunga Primary School,Bukedea,3,50,
Kanyanga,Bukedea,1,19,
Bukedea Primary School,Bukedea,4,70,
Akuoro Primary School,Bukedea,2,28,
Kacoc Primary School,Bukedea,5,65,
Amus Sapir Primary School,Bukedea,10,65,
Bukedea Township,Bukedea,21,71,
Canaan Ctc Primary School,Bukedea,1,51,
Kawo-kidongole Primary School,Bukedea,1,51,
Kajamaka Primary School,Bukedea,1,50,
Kobaale Primary School,Bukedea,1,49,
Amus Primary School,Bukedea,8,21,
Ongatuny,Bukedea,1,45,
Komelekes Primary School,Bukedea,1,43,
kamutur Primary School,Bukedea,1,40,
kamutur Primary School,Bukedea,1,40,
kamutur Primary School,Bukedea,1,40,
Malera Okouba,Bukedea,1,40,
Malera Okouba,Bukedea,1,40,
Bigasa Moslem,Bukomansimbi,2,71,
Kayunga Moslem,Bukomansimbi,1,30,
Mbaale St.Martin Pri.School,Bukomansimbi,2,69,
Kyango Muslim,Bukomansimbi,1,30,
Ntuuma ,Bukomansimbi,1,33,
Kigumba,Bukomansimbi,2,56,
Kyakatebe,Bukomansimbi,1,26,
St.Perepetwa Primary School,Bukomansimbi,1,26,
Butayunja,Bukomansimbi,1,97,
Kalubanda,Bukomansimbi,15,111,
Kyansi,Bukomansimbi,4,64,
St.Elizabeth Ganda,Bukomansimbi,4,82,
Bukomansumbi ,Bukomansimbi,4,63,
Makukuulu P.7 School,Bukomansimbi,1,20,
Kyamabaale,Bukomansimbi,1,20,
Kiryassaka,Bukomansimbi,6,93,
Butenga,Bukomansimbi,2,39,
Kabigi Islamic Virtue P/S,Bukomansimbi,1,15,
Kawoko ,Bukomansimbi,8,81,
Kitoma,Bukomansimbi,4,28,
Kisojjo Girls,Bukomansimbi,5,46,
Kasota,Bukomansimbi,4,47,
Kasota,Bukomansimbi,4,47,
Kigungumika,Bukomansimbi,7,82,
Bulenge Catholic,Bukomansimbi,28,103,
Esukanesi Memorial P/S,Bukomansimbi,4,18,
Babiito Primary School,Bukomansimbi,18,34,
St Antony Mblrizi,Bukomansimbi,10,39,
Kigangazzi,Bukomansimbi,1,42,
Kids Gear Primary School,Bukomansimbi,20,28,
KabasekendeprimAry School,Bukomansimbi,1,39,
Maleku C/U,Bukomansimbi,2,78,
Kagologolo Primary School,Bukomansimbi,1,38,
Mokoyon Primary School,Bukwo,1,143,
Bukwo P/Sch,Bukwo,1,136,
Suam Primary School,Bukwo,1,104,
Kortek Primary School,Bukwo,6,120,
Amazing P/Sch,Bukwo,3,138,
Chemuron P/Sch,Bukwo,1,69,
Muyembe  Boy's Primary School,Bulambuli,2,54,
Kada Primary School,Bulambuli,12,148,
Nabiwutulu Primary School,Bulambuli,2,110,
Muyembe Girls' Primary School,Bulambuli,2,82,
Tunyi Primary School,Bulambuli,1,60,
Naene P/Sch,Bulambuli,1,38,
Buwanyanga Primary School,Bulambuli,1,37,
Kisiabi Primary School,Buliisa,2,49,
Ngwedo Primary School,Buliisa,1,106,
Nyeramya Primary School,Buliisa,7,59,
Butaiba Primary,Buliisa,1,86,
Uganda Martyrs Pri School,Buliisa,2,41,
St Marys Biiso Pri School,Buliisa,9,158,
Kisansya Primary School,Buliisa,4,54,
Wanseko Town Primary School,Buliisa,6,74,
Ndandamire Primary School,Buliisa,5,61,
Nyamasoga Primary School,Buliisa,1,45,
Bullisa Primary School,Buliisa,1,56,
Dabani Boys Primary School,Bundibugyo,10,87,
Kabuga Primary School,Bundibugyo,2,33,
Kirumya Moslem School,Bundibugyo,11,81,
Burambagira Primary School,Bundibugyo,2,41,
Njuule Primary School,Bundibugyo,4,80,
Mutunda Primary School,Bundibugyo,4,43,
Busuba Primary School,Bundibugyo,2,36,
Kalera Primary School,Bundibugyo,5,52,
Kalera Primary School,Bundibugyo,5,52,
Kalera Primary School,Bundibugyo,5,52,
Kasanzi Primary School,Bundibugyo,8,83,
Kisonko Primary School,Bundibugyo,15,149,
Guni Primary School,Bundibugyo,15,99,
Bundikeki Primary School,Bundibugyo,7,63,
Mataisa Primary School,Bundibugyo,1,50,
Dabani Girls Boarding School,Bundibugyo,21,62,
Bundbugyo Junior P/S,Bundibugyo,15,35,
Bubukwaga P.7 School,Bundibugyo,1,39,
Buyengo Primary School,Bundibugyo,68,91,
Bubandi Primary School,Bundibugyo,1,38,
Mantoroba Primary School,Bundibugyo,2,76,
Nyamiko Primary School,Bushenyi,1,29,
Nyeibango Primary  School,Bushenyi,1,29,
Bubaaare Primary School,Bushenyi,1,28,
Kibazi Primary School,Bushenyi,2,52,
Kyeikamba Primary School,Bushenyi,1,26,
Butinde Primary School,Bushenyi,1,26,
Kibona Primary School,Bushenyi,1,25,
Bwera P S,Bushenyi,1,26,
Ncucumo P S,Bushenyi,2,48,
Kibaare li Primary School,Bushenyi,8,70,
Kashenyi Primary School,Bushenyi,1,23,
Bashenyi Primary School,Bushenyi,1,23,
Ntungamo P/S,Bushenyi,1,23,
Buramba Primary School,Bushenyi,2,17,
St. Ambrose Primary School,Bushenyi,3,25,
Nombe Primary School,Bushenyi,3,25,
Irembezi Primary School,Bushenyi,1,22,
Nyamishundo Ps,Bushenyi,1,22,
Ruharo Primary School,Bushenyi,4,32,
St. Andrew Primary School,Bushenyi,6,47,
St Andrews Primary School,Bushenyi,6,47,
Kahungye Primary School,Bushenyi,4,31,
Runyinya Ps,Bushenyi,1,17,
Numba Primary School,Bushenyi,6,46,
Ryamabengwa Primary School,Bushenyi,4,30,
Kihire Primary School,Bushenyi,4,66,
Bihumba Primary School,Bushenyi,11,81,
Kiyagaara Primary School,Bushenyi,1,21,
Bujaga Primary School,Bushenyi,1,21,
Nyamiriima Primary School,Bushenyi,5,36,
Kabushaho Primary School,Bushenyi,3,48,
Mukora Primary School,Bushenyi,1,16,
Nyarurambi Primary School,Bushenyi,1,20,
Buyanja Ps,Bushenyi,2,30,
Kakamba PS,Bushenyi,1,19,
Katunga Primary School,Bushenyi,4,59,
Rurama Primary School,Bushenyi,1,18,
Kitabi Primary School,Bushenyi,4,42,
Mwenguru Primary School,Bushenyi,6,105,
Rwentuha P/S,Bushenyi,6,40,
Kabingo Primary School,Bushenyi,8,78,
Kyentobo Primary School,Bushenyi,2,19,
kigoma Primary School,Bushenyi,11,102,
Nyarugoota Primary School,Bushenyi,8,96,
Kyeizooba Mixed School,Bushenyi,11,68,
Nakoma Primary School,Bushenyi,11,64,
Kyamiko Primary School,Bushenyi,5,29,
Tea Estate Primary School,Bushenyi,1,55,
Nyakatooma 3 Primary School,Bushenyi,7,40,
Kabande Primary School,Bushenyi,12,43,
Kabaara Primary School,Bushenyi,13,73,
Nyakatumba Primary School,Bushenyi,8,44,
Nyabitote Primary School,Bushenyi,10,32,
Rwikiriro Primary School,Bushenyi,9,28,
Kyanyakatura Primary School,Bushenyi,29,87,
Kyamuhunga Primary School,Bushenyi,17,50,
Kyamuhunga Mixed School,Bushenyi,25,73,
Ishaka Hospital Primary School,Bushenyi,22,64,
Kyeitembe Primary School,Bushenyi,24,68,
Bushenyi Town School,Bushenyi,7,36,
Rwatukwire,Bushenyi,14,72,
Bunyarigi Primary School,Bushenyi,13,34,
Nyakabanga Primary School,Bushenyi,13,62,
Basajabalaba Primary School,Bushenyi,24,50,
Kyabiguru Mixed Primary School,Bushenyi,53,106,
Little Star Primary School,Bushenyi,30,59,
Ishaka Town School,Bushenyi,40,77,
Katonya Primary School,Bushenyi,12,50,
Bumbaire Primary School,Bushenyi,13,54,
Kihungye Primary School,Bushenyi,26,107,
Kitabi Girls Primary School,Bushenyi,20,34,
Rwakashoma Primary School,Bushenyi,14,53,
Parental Care Primary School,Bushenyi,39,60,
Kashozi 2 Primary School,Bushenyi,55,81,
Bweranyagi Primary School,Bushenyi,51,73,
Ngyeya Preparatory School,Bushenyi,17,24,
Birimbi Model Primary School,Bushenyi,56,69,
Bushenyi Parents Primary School,Bushenyi,58,71,
St.Kagwa Boarding Bushenyi,Bushenyi,84,99,
Pearl Junior School,Bushenyi,57,60,
Elim Namaubi Primary Sch,Busia,6,45,
Mbehenyi Primary School,Busia,1,29,
Nanyuma Primary School,Busia,2,54,
Bulekei Primary  School,Busia,2,45,
Bukwekwe Primary School,Busia,6,127,
Nangwe Parent's Primary School,Busia,4,69,
Busia Board Primary School,Busia,9,152,
Buyimini Primary School,Busia,2,30,
Masaba Primary School,Busia,3,45,
Buhumwa Primary School,Busia,3,33,
Mawero Primary School,Busia,2,35,
Buwembe Primary School,Busia,3,30,
Marachi Primary School,Busia,9,62,
Bulecha Primary School,Busia,3,29,
Lando Memorial Primary School,Busia,2,23,
Sibiyirise Primary School,Busia,25,92,
kayoro Primary School,Busia,1,53,
Sikuda Primary School,Busia,6,32,
Buchicha Primary School,Busia,38,106,
Busikho Primary School,Busia,56,150,
Bukalikha Primary School,Busia,1,44,
Mayombe Primary School,Busia,1,78,
Tiira Primary School,Busia,1,71,
Butangasi Primary School,Busia,1,64,
Lwanikha Primary School,Busia,1,38,
Nagabita Primary School,Busia,2,75,
Busitema Primary School,Busia,1,56,
Ajuket Primary School,Busia,2,73,
Busamba Primary School,Busia,2,73,
Busamba Primary School,Busia,2,73,
Bugegege Primary School,Butaleja,1,36,
